שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
אזורים         	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל יואב פוגל, ארניה 32, תל-אביב           	03-7613417  	03-7613405 	www.azorim.co.il               	yfogel@azorim.co.il               	אזורים-חברה להשקעות בפתוח ובבנין בעמ        	715       	520025990
אחוזת בית      	ריאלי - נדלן ובינוי - נדלן ובינוי         	אחוזה 269, רעננה                           	09-7705016  	09-7705070 	www.ahuzat-bayit.co.il         	nir@ahuzat-bayit.co.il            	אחוזת בית רעננה-דיור מוגן בעמ               	139       	520033150
אחים נאוי      	פיננסי - שרותים פיננסיים - שרותים פיננסיים	נחמני 14, תל אביב                          	03-5102585  	03-5161505 	www.nawibros.com               	asaf@nawibros.com                 	קבוצת אחים נאוי בעמ                         	208       	520036070
אי אס אר אר    	ריאלי - נדלן ובינוי - נדלן ובינוי         	מנחם בגין 52, תל אביב                      	03-7763555  	03-7763560 	www.asrr.co.il                 	st@asrr.com                       	אי אס אר אר קפיטל בעמ                       	365       	520038340
אי.אל.די.      	הייטק - טכנולוגיה - שרותי מידע            	מנחם בגין 52, תל-אביב                      	03-7913200  	03-7913210 	www.aldservice.com             	ronit@ald.co.il                   	אי.אל.די. אדוונסד לוגיסטיקס דוולופמנטס בעמ  	1094      	511029373
אי.אם.אס(ש)    	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	העמל 14, ראש העין                          	03-9011106  	03-9011139 	www.amstech.co.il              	avi.t@amstech.co.il               	אי.אם.אס. אלקטרוניקה בעמ                    	1120      	511957870
אי.טי.ויו מדיקל	הייטק - ביומד - מכשור רפואי               	חממה טכנולוגיות,תכלת 17, משגב              	072-2607000 	072-2607200	www.etview.com                 	ronen@trendlines.com              	אי.טי.ויו מדיקל בעמ                         	418       	520038795
אי-אונליין(ש)  	פיננסי - שרותים פיננסיים - שרותים פיננסיים	יהודה הלוי 18, תל-אביב                     	03-5177123  	03-5171910 	www.a-online.co.il             	info@mivzak.com                   	אי-אונליין קפיטל (אי.או.סי) בעמ             	1113      	512873217
איביאי בית השק 	פיננסי - שרותים פיננסיים - שרותים פיננסיים	מגדל שלום, אחד-העם 9, קומה 26, תל-אביב     	03-5193444  	03-5175411 	www.ibi.co.il                  	dror@ibi.co.il                    	אי.בי.אי. בית השקעות בעמ                    	175       	520034356
אידיבי אחזקות  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מרכז עזריאלי 3,מגדל משולש,ק'44, תל-אביב    	03-6075666  	03-6075667 	                               	idbh@idb.co.il                    	אידיבי חברה לאחזקות בעמ                     	736       	520028283
אידיבי פתוח    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מרכז עזריאלי 3,ק'44,מנחם בגין, תל-אביב     	03-6075666  	03-6075667 	www.idb.co.il                  	idbd@idb.co.il                    	אידיבי חברה לפתוח בעמ                       	798       	520032285
איזי אנרגיה(ש) 	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 8103, פתח תקוה                          	072-2419388 	072-2446421	                               	oren.zahavi@ezenergy.com          	איזי אנרגיה בעמ                             	1012      	520041773
איזיצ'יפ       	הייטק - טכנולוגיה - מוליכים למחצה         	התמר 1, יקנעם                              	04-9596666  	04-9594177 	www.ezchip.com                 	dror@lanoptics.co.il              	איזיצ'יפ סמיקונדוקטור בעמ                   	2032      	520038068
איי.די.אן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	ראול ולנברג 24, תל-אביב                    	03-7676500  	03-7676505 	                               	ron.b@rb4u.co.il                  	איי.די.אן גלובל אקוויטי בעמ                 	824       	520033069
איי.טי.ג'י.איי 	הייטק - ביומד - מכשור רפואי               	האילן פינת החרוב, אור עקיבא                	072-2200333 	072-2200346	www.itgimedical.com            	info@itgimedical.com              	איי.טי.ג'י.איי מדיקל בעמ                    	1473      	513961334
אייאיאס        	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מונטיפיורי 33, תל אביב                     	03-7133222  	03-7133223 	www.ies.com                    	shlomi@ies.com                    	איי.אי.אס החזקות בעמ                        	431       	520039132
אייביטרנס      	ריאלי - מסחר ושרותים - שרותים             	הרברט סמואל 42, תל-אביב                    	03-7958888  	03-5104040 	www.abetrans.net               	project@abetrans.net              	אייביטרנס בעמ                               	641       	520019092
איידיאו גרופ   	ריאלי - נדלן ובינוי - נדלן ובינוי         	הירדן 1א', איירפורט סיטי, לוד              	03-5416301  	03-5416306 	                               	yaron@ado.co.il                   	איי.די.או. גרופ בעמ                         	505       	520039066
איידיאיי ביטוח 	פיננסי - ביטוח - ביטוח                    	אפעל 35, פתל-תקוה                          	03-5654021  	03-5627257 	www.555.co.il                  	                                  	איי.די.איי. חברה לביטוח בעמ                 	1608      	513910703
איידיאיי הנפקות	פיננסי - ביטוח - ביטוח                    	                                           	            	           	                               	                                  	איי.די.איי הנפקות (2010) בעמ                	1566      	514486042
איילון         	פיננסי - ביטוח - ביטוח                    	אבא הלל סילבר 12, רמת-גן                   	03-7569212  	03-7569572 	www.ayalon-ins.co.il           	israel-m@ayalon-ins.co.il         	איילון אחזקות בעמ                           	209       	520030677
אייסקיור מדיקל 	הייטק - ביומד - מכשור רפואי               	האשל 7, קיסריה                             	04-6230333  	04-6230222 	www.icecure-medical.com        	himelfard@icecure-medical.com     	אייסקיור מדיקל בעמ                          	1570      	513787804
איירפורט סיטי  	ריאלי - נדלן ובינוי - נדלן ובינוי         	הערבה, בית מוטורולה אגף B, נתבג            	03-9734443  	03-9734439 	www.airport-city.co.il         	noal@equital-group.com            	איירפורט סיטי בעמ                           	1300      	511659401
אילקס מדיקל    	ריאלי - מסחר ושרותים - מסחר               	התנופה 7,בית קודאק, א.ת קריית אריה,פתח תקוה	03-9385501  	03-9385809 	www.ilexmedical.com            	andrea@ilexmedical.com            	אילקס מדיקל בעמ                             	1019      	520042219
אימקו          	הייטק - טכנולוגיה - ביטחוניות             	תד 189, אזור תעשיה, תל-חנן                 	04-8213322  	04-8210508 	www.imco-ind.com               	dan@imco-ind.com                  	אימקו תעשיות בעמ                            	282       	520037243
אינוונטק       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ת.ד. 48341, תל-אביב                        	03-5750547  	03-5750568 	                               	asafporatmail@gmail.com           	אינוונטק סנטראל מלונות בעמ                  	1074      	520043928
אינטק פארמה    	הייטק - ביומד - ביוטכנולוגיה              	הרטום 12, הר חוצבים, ירושלים               	02-5864657  	077-4701797	www.intecpharma.com            	nir@intecpharma.com               	אינטק פארמה בעמ                             	1530      	513022780
אינטר תעשיות   	ריאלי - תעשיה - חשמל                      	א.ת. ציפורית, תד 609, נצרת עילית           	04-6414444  	04-6414333 	www.melta.co.il                	lazi@melta.co.il                  	אינטר תעשיות בעמ                            	1028      	520042458
אינטרגאמא      	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 389, הרצליה ב'                          	09-9521890  	09-9521800 	www.intergamma.co.il           	ruth@intergama.co.il              	אינטר גאמא חברה להשקעות בעמ                 	174       	520034380
אינטרנט זהב    	ריאלי - מסחר ושרותים - תקשורת ומדיה       	דב פרידמן 2, רמת גן                        	03-9240000  	03-7530075 	www.igld.com                   	doron@igld.com                    	אינטרנט גולד - קווי זהב בעמ                 	2156      	520044264
אינטרקולוני    	ריאלי - נדלן ובינוי - נדלן ובינוי         	ז'בוטינסקי 7, רמת גן                       	03-6116702  	03-6116703 	www.intercolony.com            	ifat@intercolony.com              	אינטרקולוני השקעות בעמ                      	1344      	513673970
אינטרקיור(ש)   	הייטק - ביומד - מכשור רפואי               	אצל סי.אפ.או, התדהר 16, רעננה              	073-2207000 	08-9204001 	www.intercure.com              	info@intercure.co.il              	אינטרקיור בעמ                               	1480      	512051699
אינסוליין      	הייטק - ביומד - מכשור רפואי               	פינסקר 70, פתח-תקוה                        	03-9301094  	03-9341094 	www.insuline-medical.com       	info@insuline-medical.com         	אינסוליין מדיקל בעמ                         	1550      	513947473
אינרום בנייה   	ריאלי - תעשיה - מתכת ומוצרי בניה          	בית גולן, ק.שדה התעופה, לוד                	03-9718181  	03-9718193 	www.inrom.co.il                	tomer@inrom.co.il                 	אינרום תעשיות בנייה בעמ                     	1616      	515001659
איסתא          	ריאלי - מסחר ושרותים - מלונאות ותיירות    	מנורת המאור 8, נחלת יצחק, תל-אביב          	03-7777300  	03-7777301 	www.issta.co.il                	ayaea@issta.co.il                 	איסתא ליינס בעמ                             	1036      	520042763
איתוראן        	ריאלי - מסחר ושרותים - שרותים             	השקמה 3, אזור תעשיה, אזור                  	03-5571314  	03-5571393 	www.ituran.com                 	guy_a@ituran.com                  	איתוראן איתור ושליטה בעמ                    	1065      	520043811
איתי פיננסים   	פיננסי - שרותים פיננסיים - שרותים פיננסיים	דרך מנחם בגין 52, תל אביב                  	03-7914455  	03-7914464 	                               	info@pi-f.com                     	איתי פיננסים א.א השקעות בעמ                 	424       	520038779
איתמר מדיקל    	הייטק - ביומד - מכשור רפואי               	חלמיש 9, קיסריה                            	04-6177000  	04-6275598 	www.itamar-medical.com         	sshaul@itamar-medical.com         	איתמר מדיקל בעמ                             	1411      	512434218
אל על          	ריאלי - מסחר ושרותים - שרותים             	תד 41, נתבג                                	03-9716202  	03-9717334 	www.elal.co.il                 	corporate@elal.co.il              	אל על  נתיבי אויר לישראל בעמ                	1152      	520017146
אלביט הדמיה    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	כנרת 5, בני ברק                            	03-6086000  	03-6086050 	www.elbitimaging.com           	taln@elbitimaging.com             	אלביט הדמיה בעמ                             	1039      	520043035
אלביט טכנ      	הייטק - ביומד - השקעות במדעי החיים        	כנרת 5, בני ברק                            	03-6086000  	03-6086050 	www.elbitimaging.com           	taln@elbitimaging.com             	אלביט מדיקל טכנולוג'יס בעמ                  	474       	520039645
אלביט מערכות   	הייטק - טכנולוגיה - ביטחוניות             	מרכז תעשיות מדע, תד 539, חיפה              	04-8316632  	04-8316659 	www.elbitsystems.com           	shoshis@elbit.co.il               	אלביט מערכות בעמ                            	1040      	520043027
אלבר           	ריאלי - מסחר ושרותים - שרותים             	אריה שנקר 13, ראשון לציון                  	03-6151501  	03-6151015 	www.albar.co.il                	yuval@albar.co.il                 	אלבר שירותי מימונית בעמ                     	1382      	512025891
אלגומייזר      	הייטק - טכנולוגיה - תוכנה ואינטרנט        	אימבר 24, פתח תקוה                         	03-7299111  	03-6294472 	www.algomizer.com              	israel@algomizer.com              	אלגומייזר בעמ                               	744       	520040262
אלווריון       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	המלאכה 15,סיטי פארק אפק, ראש העין          	03-6456262  	03-6456222 	www.alvarion-ltd.com           	ir@alvarion.com                   	אלווריון בעמ                                	2173      	511722316
אלוט           	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הנגר 22, א.ת. נווה נאמן, הוד השרון         	09-7619200  	09-7443626 	www.allot.com                  	legal@allot.com                   	אלוט תקשורת בעמ                             	2252      	512394776
אלומיי קפיטל   	הייטק - טכנולוגיה - קלינטק                	שד' רוטשילד 9, תל אביב                     	03-7971111  	03-7971122 	www.ellomay.com                	kalilaw@ellomay.com               	אלומיי קפיטל בעמ                            	2101      	520039868
אלון חיפושי גז 	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	תד 10, פארק יקום, קיבוץ יקום               	09-9618504  	09-9618636 	                               	                                  	אלון חיפושי גז טבעי בעמ                     	1531      	514329580
אלון רבוע כחול 	ריאלי - מסחר ושרותים - מסחר               	יורופארק יקום מס 10, קיבוץ יקום            	09-9618504  	09-9618636 	www.bsi.co.il                  	ortal.klein@alon-oil.co.il        	אלון רבוע כחול ישראל בעמ                    	2063      	520042847
אלוני חץ       	ריאלי - נדלן ובינוי - נדלן ובינוי         	מגדל משה אביב, ז'בוטינסקי 7, רמת-גן        	03-7521115  	03-7514730 	www.alony-hetz.com             	info@alony-hetz.com               	אלוני-חץ נכסים והשקעות בעמ                  	390       	520038506
אליאנס         	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	תד 48, חדרה                                	04-6240550  	04-6240642 	www.alliance.co.il             	sdeby@atgtire.com                 	אליאנס חברה לצמיגים בעמ                     	457       	520038738
אליום מדיקל    	הייטק - ביומד - מכשור רפואי               	האשל 2, קיסריה                             	04-6277166  	04-6277266 	www.allium-medical.com         	info@allium-medical.com           	אליום מדיקל סולושנס בעמ                     	1393      	513488833
אלמוגים החזקות 	ריאלי - נדלן ובינוי - נדלן ובינוי         	הפטיש 2, טירת הכרמל                        	04-8577080  	04-8577081 	www.almogim.co.il              	info@almogim.co.il                	אלמוגים החזקות בעמ                          	1553      	513988824
אלספק          	ריאלי - תעשיה - חשמל                      	שוהם 4, פארק התעשיה, קיסריה                	04-6272470  	04-6272465 	www.elspec-ltd.com             	hararyr@zahav.net.il              	אלספק הנדסה בעמ                             	1194      	511297541
אלעזרא         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 5005, מרכז מסחרי אפרידר, אשקלון         	08-6730726  	08-6735853 	                               	sharone@afridar.co.il             	אלעזרא החזקות בעמ                           	1462      	513785634
אלקו           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	יגאל אלון 98, תל-אביב                      	03-6939696  	03-6939679 	www.elco-holdings.com          	nechemia@elcoholdings.com         	אלקו בעמ                                    	694       	520025370
אלקטרה         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ז'בוטינסקי 7, רמת-גן                       	03-7535676  	03-7535677 	www.electra.co.il              	nechemia@elco.co.il               	אלקטרה בעמ                                  	739       	520028911
אלקטרה נדלן    	ריאלי - נדלן ובינוי - נדלן ובינוי         	יגאל אלון 98, תל אביב                      	03-7101700  	03-7101720 	www.ere.co.il                  	info@ere.co.il                    	אלקטרה נדלן בעמ                             	1264      	510607328
אלקטרה צריכה   	ריאלי - מסחר ושרותים - מסחר               	יוסף ספיר 1, אזור תעשיה חדש, ראשון-לציון   	03-9530530  	03-9513045 	www.electra-consumer.co.il     	nechemia@elco.co.il               	אלקטרה מוצרי צריכה בעמ                      	501       	520039967
אלרוב ישראל    	ריאלי - נדלן ובינוי - נדלן ובינוי         	מגדל אלרוב, שד' רוטשילד 46, תל-אביב        	03-7147777  	03-7147778 	www.alrov.co.il                	info@alrov.co.il                  	אל-רוב (ישראל) בעמ                          	146       	520034596
אלרוב נדלן     	ריאלי - נדלן ובינוי - נדלן ובינוי         	מגדל אלרוב,שד' רוטשילד 46,ק'16, תל-אביב    	03-7147777  	03-7147778 	www.alrov.co.il                	info@alrov.co.il                  	אלרוב נדלן ומלונאות בעמ                     	387       	520038894
אלרון          	הייטק - ביומד - השקעות במדעי החיים        	עזריאלי 3,ק'42,דרך מנחם בגין, תל-אביב      	03-6075555  	03-6075556 	www.elron.com                  	elron@elron.com                   	אלרון תעשיה אלקטרונית בעמ                   	749       	520028036
אלרן השקעות    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מדינת היהודים 89, הרצליה פיתוח             	09-9617000  	09-9617001 	www.elrangroup.co.il           	elran@elrangroup.co.il            	אלרן (ד.ד.) השקעות בעמ                      	638       	520019027
אלרן נדלן (ש)  	ריאלי - נדלן ובינוי - נדלן ובינוי         	מדינת היהודים 89, הרצליה פיתוח             	09-9617000  	09-9617001 	www.elrangroup.co.il           	elran@elrangroup.co.il            	אלרן נדלן בעמ                               	1377      	511315707
אמות           	ריאלי - נדלן ובינוי - נדלן ובינוי         	ז'בוטינסקי 7, רמת-גן                       	03-5760500  	03-5760501 	www.amot.co.il                 	amot@amot.co.il                   	אמות השקעות בעמ                             	1328      	520026683
אמיליה פיתוח   	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	הגביש 1, חיפה                              	04-8471111  	04-8410647 	www.emilia.co.il               	main@emilia.co.il                 	אמיליה פיתוח (מ.עו.פ) בעמ                   	589       	520014846
אמנת           	ריאלי - מסחר ושרותים - שרותים             	הברזל 34, אזור תעשיה רמת-החייל, תל-אביב    	03-7659555  	03-6440125 	www.amanet.co.il               	amanet@amanet.co.il               	אמנת ניהול ומערכות בעמ                      	654       	520040833
אמת            	הייטק - טכנולוגיה - שרותי מידע            	החילזון 6, רמת-גן                          	03-5766999  	03-7513626 	www.emet.co.il                 	zehava@emet.co.il                 	א.מ.ת. מיחשוב בעמ                           	382       	520038514
אן טי אס       	ריאלי - מסחר ושרותים - תקשורת ומדיה       	NO 1220 ST. BROADWAY, LUBBOCK              	8067715212  	8067883398 	www.ntscom.com                 	info@ntscominc.com                	אן טי אס אינק.                              	1340      	0
אנגל משאבים    	ריאלי - נדלן ובינוי - נדלן ובינוי         	קרמנצקי 2, תל אביב                         	03-7655000  	03-7655055 	www.engel.co.il                	anatp@engel.co.il                 	אנגל משאבים ופיתוח בעמ                      	771       	520032178
אנגל שלמה      	ריאלי - תעשיה - מזון                      	כנפי נשרים 1, ירושלים                      	02-6580555  	02-6511238 	www.angel.co.il                	info@angel.co.il                  	שלמה א. אנג'ל בעמ                           	180       	520035130
אנדימד         	הייטק - ביומד - מכשור רפואי               	ברקת 7, קיסריה                             	04-6309100  	04-6309101 	www.endymed.com                	benf@endymed.com                  	אנדימד בעמ                                  	1391      	513487629
אנלייט אנרגיה  	הייטק - טכנולוגיה - קלינטק                	המלאכה 16, ראש העין                        	03-9008700  	03-9008701 	www.enlightenergy.co.il        	gilad@enlightenergy.co.il         	אנלייט אנרגיה מתחדשת בעמ                    	720       	520041146
אנליסט         	פיננסי - שרותים פיננסיים - שרותים פיננסיים	מגדל אלרוב,שד' רוטשילד 46,ק'19, תל-אביב    	03-7147147  	03-7147142 	www.analyst.co.il              	analyst@analyst.co.il             	אנליסט אי.אמ.אס.-שרותי ניהול השקעות בעמ     	1008      	520041963
אנרג'יקס       	הייטק - טכנולוגיה - קלינטק                	ז'בוטינסקי 7, רמת גן                       	03-5668855  	03-5668822 	www.energix-group.com          	sharon@energix-group.com          	אנרג'יקס-אנרגיות מתחדשות בעמ                	1581      	513901371
אס.אר אקורד    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל קב' עדי צים,קלוזנר 10, רמלה            	08-9158205  	08-8507531 	                               	udi@sr-accord.com                 	אס.אר. אקורד בעמ                            	422       	520038670
אס.די.אס(ש)    	הייטק - טכנולוגיה - ביטחוניות             	גרניט 11, קרית אריה, פתח תקוה              	073-2324501 	03-7606900 	www.star-ds.com                	tals@star-ds.com                  	אס.די.אס (סטאר מערכות בטחוניות) בעמ         	296       	520037318
אסטיגי         	ריאלי - מסחר ושרותים - מסחר               	דרך השלום 53, גבעתיים                      	03-7331400  	03-5732244 	www.stggroup.co.il             	stg@stggroup.co.il                	אס.טי.ג'י. אינטרנשיונל בעמ                  	550       	520040338
אסיה פיתוח     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ז'בוטינסקי 7, רמת גן                       	073-2423777 	073-2423700	                               	kfir@asiagroup.co                 	אסיה פיתוח (א.ד.ב.מ) בעמ                    	199       	520036062
אסם            	ריאלי - תעשיה - מזון                      	קרית אסם, תד 934, שהם                      	03-7205050  	03-7205095 	www.osem.co.il                 	alberto.pessah@osem.il.nestle.com 	אסם השקעות בעמ                              	304       	520026063
אספן גרופ      	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית רובינשטין,לינקולן 20, תל-אביב          	03-5652222  	03-5652225 	www.aspen.co.il                	kerenb@aspen.co.il                	אספן גרופ בעמ                               	313       	520037540
אפוסנס         	הייטק - ביומד - ביוטכנולוגיה              	האודם 5-7, פתח תקוה                        	03-9215717  	03-9215714 	www.aposense.com               	info@aposense.com                 	אפוסנס בעמ                                  	1545      	512380296
אפיק הירדן     	ריאלי - נדלן ובינוי - נדלן ובינוי         	משק 41, מושב טל שחר                        	08-9355346  	08-9355349 	                               	amir@afiki.co.il                  	אפיק הירדן אחזקות (2006) בעמ                	1354      	513845750
אפליי          	הייטק - טכנולוגיה - תוכנה ואינטרנט        	לייף טרי מרקטינג,הנחושת 4, תל אביב         	03-7694750  	03-5480236 	www.apply-tech.com             	contact@apply-tech.com            	אפליי טכנולוגיות מובייל מתקדמות בעמ         	363       	520037607
אפקון החזקות   	ריאלי - תעשיה - חשמל                      	סמטת התבור 4, פתח-תקוה                     	073-2001333 	03-9216491 	www.afcon-ind.co.il            	gilb@fil.co.il                    	אפקון החזקות בעמ                            	578       	520033473
אפריל נדלן     	ריאלי - נדלן ובינוי - נדלן ובינוי         	גיבורי ישראל 7, נתניה                      	09-8638580  	09-8638477 	                               	zur@tsjuvagroup.com               	א.נ.ה- אפריל נדלן החזקות (2012) בעמ         	1603      	514781350
אפריקה השקעות  	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך החורש 4, קרית סביונים, יהוד            	03-5393535  	03-5393523 	www.africa-israel.com          	larisac@africa-israel.com         	אפריקה-ישראל להשקעות בעמ                    	611       	520005067
אפריקה מגורים  	ריאלי - נדלן ובינוי - נדלן ובינוי         	יוני נתניהו 1ג', אור יהודה                 	03-7402500  	03-5393523 	www.africa-israel.co.il/megurim	larisac@africa-israel.com         	אפריקה ישראל מגורים בעמ                     	1338      	520034760
